id	userid	hits	z	trials	created_at	updated_at
109	52946e67cb	0	-1.58	10	2023-05-17 11:28:09	2023-05-17 11:28:09
110	52946e67cb	3	0.79	10	2023-05-17 11:28:38	2023-05-17 11:28:38
111	52946e67cb	1	-0.79	10	2023-05-17 11:29:08	2023-05-17 11:29:08
112	52946e67cb	1	-0.79	10	2023-05-17 11:29:35	2023-05-17 11:29:35
113	52946e67cb	1	-0.79	10	2023-05-17 11:30:02	2023-05-17 11:30:02
114	52946e67cb	2	0.00	10	2023-05-17 11:30:27	2023-05-17 11:30:27
115	52946e67cb	1	-0.79	10	2023-05-17 11:30:51	2023-05-17 11:30:51
116	52946e67cb	1	-0.79	10	2023-05-17 11:31:19	2023-05-17 11:31:19
117	52946e67cb	3	0.79	10	2023-05-17 11:31:44	2023-05-17 11:31:44
118	52946e67cb	2	0.00	10	2023-05-17 11:32:08	2023-05-17 11:32:08
119	52946e67cb	2	0.00	10	2023-05-17 11:32:35	2023-05-17 11:32:35
120	52946e67cb	0	-1.58	10	2023-05-17 11:33:03	2023-05-17 11:33:03
121	52946e67cb	3	0.79	10	2023-05-17 11:33:28	2023-05-17 11:33:28
122	52946e67cb	4	1.58	10	2023-05-17 11:33:53	2023-05-17 11:33:53
123	52946e67cb	2	0.00	10	2023-05-17 11:34:22	2023-05-17 11:34:22
124	52946e67cb	1	-0.79	10	2023-05-17 11:34:49	2023-05-17 11:34:49
125	52946e67cb	0	-1.58	10	2023-05-17 11:35:14	2023-05-17 11:35:14
126	52946e67cb	1	-0.79	10	2023-05-17 11:35:38	2023-05-17 11:35:38
127	52946e67cb	1	-0.79	10	2023-05-17 11:36:04	2023-05-17 11:36:04
128	fff8c30e58	2	0.00	10	2023-05-17 15:02:55	2023-05-17 15:02:55
129	cfa64fd443	1	-0.79	10	2023-05-17 21:46:36	2023-05-17 21:46:36
130	cfa64fd443	4	1.58	10	2023-05-17 21:47:52	2023-05-17 21:47:52
131	1ef651d180	0	-1.58	10	2023-05-18 02:46:01	2023-05-18 02:46:01
132	2e46b02c1c	3	0.79	10	2023-05-18 02:50:55	2023-05-18 02:50:55
133	52946e67cb	1	-0.79	10	2023-05-18 12:19:34	2023-05-18 12:19:34
134	52946e67cb	1	-1.01	12	2023-05-18 12:20:15	2023-05-18 12:20:15
135	52946e67cb	3	0.79	10	2023-05-18 12:20:38	2023-05-18 12:20:38
136	52946e67cb	4	1.58	10	2023-05-18 12:21:01	2023-05-18 12:21:01
137	52946e67cb	3	0.79	10	2023-05-18 12:21:23	2023-05-18 12:21:23
138	52946e67cb	3	0.79	10	2023-05-18 12:21:43	2023-05-18 12:21:43
139	52946e67cb	1	-0.79	10	2023-05-18 12:22:04	2023-05-18 12:22:04
140	52946e67cb	0	-1.58	10	2023-05-18 12:22:23	2023-05-18 12:22:23
141	52946e67cb	1	-0.79	10	2023-05-18 12:22:41	2023-05-18 12:22:41
142	52946e67cb	1	-0.90	11	2023-05-18 12:23:02	2023-05-18 12:23:02
143	52946e67cb	1	-0.79	10	2023-05-18 12:23:20	2023-05-18 12:23:20
144	52946e67cb	0	-1.58	10	2023-05-18 12:23:41	2023-05-18 12:23:41
