id	userid	num_correct	mega	z	trials	created_at	updated_at
65	fff8c30e58	0	0	-6.36	1	2023-05-16 14:43:50	2023-05-16 14:43:50
66	fff8c30e58	0	0	-6.36	1	2023-05-16 14:44:03	2023-05-16 14:44:03
67	fff8c30e58	0	0	-6.36	1	2023-05-16 14:45:52	2023-05-16 14:45:52
68	fff8c30e58	1	0	0.14	1	2023-05-16 14:46:08	2023-05-16 14:46:08
69	52946e67cb	0	0	-6.36	1	2023-05-16 14:58:23	2023-05-16 14:58:23
70	52946e67cb	0	0	-6.36	1	2023-05-16 14:58:40	2023-05-16 14:58:40
71	52946e67cb	1	0	0.14	1	2023-05-16 14:58:55	2023-05-16 14:58:55
72	52946e67cb	1	0	0.14	1	2023-05-16 14:59:10	2023-05-16 14:59:10
73	52946e67cb	0	0	-6.36	1	2023-05-16 14:59:29	2023-05-16 14:59:29
74	dc8b1e36ff	0	0	-6.36	1	2023-05-16 18:02:52	2023-05-16 18:02:52
75	dc8b1e36ff	0	0	-6.36	1	2023-05-16 18:03:07	2023-05-16 18:03:07
76	283f666c49	0	0	-6.36	1	2023-05-16 21:41:51	2023-05-16 21:41:51
77	52946e67cb	1	0	0.14	1	2023-05-17 13:50:11	2023-05-17 13:50:11
78	52946e67cb	0	0	-6.36	1	2023-05-17 13:50:22	2023-05-17 13:50:22
79	52946e67cb	1	0	0.14	1	2023-05-17 13:50:34	2023-05-17 13:50:34
80	52946e67cb	0	0	-6.36	1	2023-05-17 13:50:45	2023-05-17 13:50:45
81	52946e67cb	0	0	-6.36	1	2023-05-17 13:50:56	2023-05-17 13:50:56
82	52946e67cb	0	0	-6.36	1	2023-05-17 13:51:10	2023-05-17 13:51:10
83	fff8c30e58	0	0	-6.36	1	2023-05-17 14:54:11	2023-05-17 14:54:11
84	fff8c30e58	1	0	0.14	1	2023-05-17 14:54:38	2023-05-17 14:54:38
85	cfa64fd443	2	0	1.40	1	2023-05-17 21:37:00	2023-05-17 21:37:00
86	cfa64fd443	0	0	-6.36	1	2023-05-17 21:37:24	2023-05-17 21:37:24
87	cfa64fd443	2	0	1.40	1	2023-05-17 21:38:29	2023-05-17 21:38:29
88	cfa64fd443	0	0	-6.36	1	2023-05-17 21:38:47	2023-05-17 21:38:47
89	cfa64fd443	0	0	-6.36	1	2023-05-17 21:39:30	2023-05-17 21:39:30
90	1ef651d180	0	0	-6.36	1	2023-05-18 02:49:07	2023-05-18 02:49:07
91	2e46b02c1c	0	0	-6.36	1	2023-05-18 02:50:05	2023-05-18 02:50:05
92	52946e67cb	1	0	0.14	1	2023-05-18 09:25:57	2023-05-18 09:25:57
93	52946e67cb	1	0	0.14	1	2023-05-18 09:26:23	2023-05-18 09:26:23
94	52946e67cb	1	0	0.14	1	2023-05-18 09:27:38	2023-05-18 09:27:38
95	52946e67cb	0	0	-6.36	1	2023-05-18 10:41:57	2023-05-18 10:41:57
96	52946e67cb	0	0	-6.36	1	2023-05-18 10:42:12	2023-05-18 10:42:12
