id	userid	hits	z	trials	created_at	updated_at
131	bdccdd5b23	23	-0.57	10	2023-05-26 17:26:23	2023-05-26 17:26:23
132	d40dfacc09	24	-0.28	10	2023-05-26 20:15:31	2023-05-26 20:15:31
133	d40dfacc09	26	0.28	10	2023-05-26 20:17:05	2023-05-26 20:17:05
134	d40dfacc09	25	0.00	10	2023-05-26 20:18:53	2023-05-26 20:18:53
135	d40dfacc09	23	-0.57	10	2023-05-26 20:20:46	2023-05-26 20:20:46
136	fff8c30e58	22	-0.85	10	2023-05-26 20:47:49	2023-05-26 20:47:49
137	d40dfacc09	26	0.28	10	2023-05-27 02:40:17	2023-05-27 02:40:17
138	d40dfacc09	26	0.28	10	2023-05-27 02:41:43	2023-05-27 02:41:43
139	ff92c2f177	22	-0.85	10	2023-05-27 14:17:38	2023-05-27 14:17:38
140	77c18aa0ae	17	-2.26	10	2023-05-27 17:04:21	2023-05-27 17:04:21
141	77c18aa0ae	20	-1.41	10	2023-05-27 17:08:02	2023-05-27 17:08:02
142	77c18aa0ae	19	-1.70	10	2023-05-27 17:19:49	2023-05-27 17:19:49
143	77c18aa0ae	23	-0.57	10	2023-05-27 17:20:40	2023-05-27 17:20:40
144	77c18aa0ae	23	-0.57	10	2023-05-27 17:21:42	2023-05-27 17:21:42
145	77c18aa0ae	15	-2.83	10	2023-05-27 17:22:44	2023-05-27 17:22:44
146	77c18aa0ae	29	1.13	10	2023-05-27 17:32:10	2023-05-27 17:32:10
147	77c18aa0ae	22	-0.85	10	2023-05-27 17:33:16	2023-05-27 17:33:16
148	77c18aa0ae	19	-1.70	10	2023-05-27 17:34:30	2023-05-27 17:34:30
149	77c18aa0ae	26	0.28	10	2023-05-27 17:35:48	2023-05-27 17:35:48
150	d40dfacc09	26	0.28	10	2023-05-28 00:37:09	2023-05-28 00:37:09
151	d40dfacc09	23	-0.57	10	2023-05-28 00:38:32	2023-05-28 00:38:32
152	d40dfacc09	22	-0.85	10	2023-05-28 00:40:05	2023-05-28 00:40:05
153	fff8c30e58	26	0.28	10	2023-05-28 13:41:23	2023-05-28 13:41:23
154	fff8c30e58	23	-0.57	10	2023-05-29 13:13:18	2023-05-29 13:13:18
155	fff8c30e58	18	-1.98	10	2023-05-30 13:56:04	2023-05-30 13:56:04
156	fff8c30e58	20	-1.41	10	2023-05-30 14:04:31	2023-05-30 14:04:31
157	fff8c30e58	21	-1.13	10	2023-05-31 14:36:13	2023-05-31 14:36:13
