id	userid	z	trials	created_at	updated_at
127	70060b0cc2	-0.09	20	2023-05-22 19:50:46	2023-05-22 19:50:46
128	fff8c30e58	2.68	20	2023-05-23 01:34:50	2023-05-23 01:34:50
129	f92becb245	1.69	20	2023-05-23 06:36:15	2023-05-23 06:36:15
130	f92becb245	2.44	20	2023-05-23 07:36:32	2023-05-23 07:36:32
131	fff8c30e58	2.14	20	2023-05-23 18:01:58	2023-05-23 18:01:58
132	fff8c30e58	1.48	20	2023-05-23 18:02:43	2023-05-23 18:02:43
133	fff8c30e58	1.69	20	2023-05-23 18:03:20	2023-05-23 18:03:20
134	fff8c30e58	1.46	20	2023-05-23 18:03:56	2023-05-23 18:03:56
135	fff8c30e58	1.94	20	2023-05-23 18:04:22	2023-05-23 18:04:22
136	fff8c30e58	2.23	20	2023-05-23 18:04:55	2023-05-23 18:04:55
137	fff8c30e58	1.25	20	2023-05-23 18:05:23	2023-05-23 18:05:23
138	fff8c30e58	1.74	20	2023-05-23 18:05:53	2023-05-23 18:05:53
139	fff8c30e58	0.84	20	2023-05-23 18:06:17	2023-05-23 18:06:17
140	fff8c30e58	3.85	20	2023-05-23 18:06:41	2023-05-23 18:06:41
141	2e006b735f	-0.36	20	2023-05-23 18:10:08	2023-05-23 18:10:08
142	b68f6fe9a2	2.99	20	2023-05-23 18:30:47	2023-05-23 18:30:47
143	d40dfacc09	0.11	20	2023-05-23 18:32:24	2023-05-23 18:32:24
144	e23b4bcc65	1.93	20	2023-05-23 18:44:53	2023-05-23 18:44:53
145	3328dc4258	-0.01	20	2023-05-23 18:59:23	2023-05-23 18:59:23
146	5b84771544	1.92	20	2023-05-23 19:12:51	2023-05-23 19:12:51
147	77c18aa0ae	2.77	20	2023-05-23 19:32:21	2023-05-23 19:32:21
148	77c18aa0ae	1.37	20	2023-05-23 19:33:12	2023-05-23 19:33:12
149	891172471b	1.89	20	2023-05-23 20:45:24	2023-05-23 20:45:24
150	891172471b	-1.47	20	2023-05-23 20:51:27	2023-05-23 20:51:27
151	852c40a4c1	0.79	20	2023-05-23 23:12:23	2023-05-23 23:12:23
152	65fc3500be	0.73	20	2023-05-24 00:47:11	2023-05-24 00:47:11
153	55c781238a	2.34	20	2023-05-24 01:13:23	2023-05-24 01:13:23
154	9e7a2c2a0d	-0.51	20	2023-05-24 02:17:39	2023-05-24 02:17:39
155	3328dc4258	-0.44	20	2023-05-24 02:18:30	2023-05-24 02:18:30
156	5db1799938	0.84	20	2023-05-24 02:55:04	2023-05-24 02:55:04
157	53b90b6e5f	0.76	20	2023-05-24 04:42:39	2023-05-24 04:42:39
158	53b90b6e5f	1.40	20	2023-05-24 04:44:48	2023-05-24 04:44:48
159	e62733e006	-0.28	20	2023-05-24 12:21:07	2023-05-24 12:21:07
160	3036d30a05	2.36	20	2023-05-24 12:46:11	2023-05-24 12:46:11
161	852c40a4c1	-1.23	20	2023-05-24 13:37:43	2023-05-24 13:37:43
162	fff8c30e58	1.50	20	2023-05-24 14:02:12	2023-05-24 14:02:12
163	fff8c30e58	1.78	20	2023-05-24 14:02:39	2023-05-24 14:02:39
164	fff8c30e58	2.41	20	2023-05-24 14:03:08	2023-05-24 14:03:08
165	fff8c30e58	2.52	20	2023-05-24 14:09:59	2023-05-24 14:09:59
166	37b1202ffb	0.57	20	2023-05-24 14:44:17	2023-05-24 14:44:17
167	51f5819377	1.38	20	2023-05-24 17:07:11	2023-05-24 17:07:11
168	036851a55f	1.48	20	2023-05-24 18:56:56	2023-05-24 18:56:56
169	e562fe06a4	-0.76	20	2023-05-24 19:26:58	2023-05-24 19:26:58
170	51f5819377	1.24	20	2023-05-24 21:47:00	2023-05-24 21:47:00
171	76b0cf44d8	0.51	20	2023-05-24 22:27:05	2023-05-24 22:27:05
172	03bbe154e3	1.96	20	2023-05-25 01:32:26	2023-05-25 01:32:26
173	03bbe154e3	2.05	20	2023-05-25 02:00:17	2023-05-25 02:00:17
174	8c0e8dcf0f	-0.81	20	2023-05-25 03:36:32	2023-05-25 03:36:32
175	03bbe154e3	1.77	20	2023-05-25 10:08:29	2023-05-25 10:08:29
176	bda1283c07	0.05	20	2023-05-25 13:34:21	2023-05-25 13:34:21
177	fff8c30e58	3.47	20	2023-05-25 14:22:57	2023-05-25 14:22:57
178	77c18aa0ae	1.14	20	2023-05-25 16:25:51	2023-05-25 16:25:51
179	ff55040f59	0.09	20	2023-05-26 12:59:27	2023-05-26 12:59:27
180	551ffb1b22	-0.26	20	2023-05-26 16:24:31	2023-05-26 16:24:31
181	bdccdd5b23	1.20	20	2023-05-26 17:28:12	2023-05-26 17:28:12
182	bdccdd5b23	-0.08	20	2023-05-26 17:29:37	2023-05-26 17:29:37
183	d40dfacc09	-0.19	20	2023-05-26 20:28:54	2023-05-26 20:28:54
184	d40dfacc09	1.91	20	2023-05-26 20:30:28	2023-05-26 20:30:28
185	d40dfacc09	1.60	20	2023-05-26 20:31:31	2023-05-26 20:31:31
186	fff8c30e58	3.36	20	2023-05-26 20:49:28	2023-05-26 20:49:28
187	63c692191a	0.62	20	2023-05-27 05:57:32	2023-05-27 05:57:32
188	ff92c2f177	-1.31	20	2023-05-27 14:01:37	2023-05-27 14:01:37
189	ff92c2f177	-0.11	20	2023-05-27 14:03:35	2023-05-27 14:03:35
190	ff92c2f177	1.54	20	2023-05-27 14:07:05	2023-05-27 14:07:05
191	77c18aa0ae	0.66	20	2023-05-27 16:36:55	2023-05-27 16:36:55
192	77c18aa0ae	-0.25	20	2023-05-27 17:15:51	2023-05-27 17:15:51
193	77c18aa0ae	0.83	20	2023-05-27 17:16:27	2023-05-27 17:16:27
194	77c18aa0ae	1.69	20	2023-05-27 17:17:07	2023-05-27 17:17:07
195	77c18aa0ae	0.65	20	2023-05-27 17:41:15	2023-05-27 17:41:15
196	77c18aa0ae	2.24	20	2023-05-27 17:41:48	2023-05-27 17:41:48
197	77c18aa0ae	0.87	20	2023-05-27 17:42:19	2023-05-27 17:42:19
198	77c18aa0ae	1.36	20	2023-05-27 17:42:50	2023-05-27 17:42:50
199	77c18aa0ae	1.34	20	2023-05-27 17:43:32	2023-05-27 17:43:32
200	d40dfacc09	-0.11	20	2023-05-28 00:42:31	2023-05-28 00:42:31
201	d40dfacc09	1.43	20	2023-05-28 00:44:28	2023-05-28 00:44:28
202	d40dfacc09	1.62	20	2023-05-28 00:47:01	2023-05-28 00:47:01
203	fff8c30e58	3.34	20	2023-05-28 13:37:38	2023-05-28 13:37:38
204	fff8c30e58	1.62	20	2023-05-29 13:16:47	2023-05-29 13:16:47
205	fff8c30e58	0.98	20	2023-05-29 13:17:21	2023-05-29 13:17:21
206	fff8c30e58	1.52	20	2023-05-29 13:17:47	2023-05-29 13:17:47
207	bd86b078cc	0.48	20	2023-05-29 21:16:12	2023-05-29 21:16:12
208	d40dfacc09	1.54	20	2023-05-30 00:29:48	2023-05-30 00:29:48
209	d40dfacc09	1.21	20	2023-05-30 00:31:22	2023-05-30 00:31:22
210	d40dfacc09	1.91	20	2023-05-30 00:32:51	2023-05-30 00:32:51
211	d40dfacc09	2.88	20	2023-05-30 00:33:59	2023-05-30 00:33:59
212	d40dfacc09	1.72	20	2023-05-30 00:44:55	2023-05-30 00:44:55
213	fff8c30e58	2.07	20	2023-05-30 13:57:52	2023-05-30 13:57:52
214	fff8c30e58	1.25	20	2023-05-30 13:58:25	2023-05-30 13:58:25
215	fff8c30e58	2.03	20	2023-05-30 13:59:19	2023-05-30 13:59:19
