id	userid	steps	z	trials	created_at	updated_at
152	52946e67cb	36	-0.42	10	2023-05-18 11:17:20	2023-05-18 11:17:20
153	52946e67cb	36	-0.42	10	2023-05-18 11:18:40	2023-05-18 11:18:40
154	52946e67cb	44	-0.99	10	2023-05-18 11:20:15	2023-05-18 11:20:15
155	52946e67cb	29	0.07	10	2023-05-18 11:22:04	2023-05-18 11:22:04
156	52946e67cb	33	-0.21	10	2023-05-18 11:23:46	2023-05-18 11:23:46
157	52946e67cb	31	-0.07	10	2023-05-18 11:25:47	2023-05-18 11:25:47
158	52946e67cb	34	-0.28	10	2023-05-18 11:27:01	2023-05-18 11:27:01
159	52946e67cb	29	0.07	10	2023-05-18 11:28:42	2023-05-18 11:28:42
160	52946e67cb	1	2.05	10	2023-05-18 11:28:42	2023-05-18 11:28:42
161	52946e67cb	40	-0.71	10	2023-05-18 11:30:15	2023-05-18 11:30:15
162	52946e67cb	29	0.07	10	2023-05-18 11:34:46	2023-05-18 11:34:46
163	52946e67cb	33	-0.21	10	2023-05-18 11:36:27	2023-05-18 11:36:27
164	52946e67cb	34	-0.28	10	2023-05-18 11:37:59	2023-05-18 11:37:59
165	52946e67cb	27	0.21	10	2023-05-18 11:39:38	2023-05-18 11:39:38
166	52946e67cb	31	-0.07	10	2023-05-18 11:41:22	2023-05-18 11:41:22
167	52946e67cb	35	-0.35	10	2023-05-18 11:42:38	2023-05-18 11:42:38
168	52946e67cb	28	0.14	10	2023-05-18 11:44:03	2023-05-18 11:44:03
169	52946e67cb	29	0.07	10	2023-05-18 11:45:17	2023-05-18 11:45:17
170	52946e67cb	35	-0.35	10	2023-05-18 11:46:18	2023-05-18 11:46:18
171	52946e67cb	43	-0.92	10	2023-05-18 12:06:22	2023-05-18 12:06:22
172	52946e67cb	36	-0.42	10	2023-05-18 12:07:50	2023-05-18 12:07:50
173	52946e67cb	29	0.07	10	2023-05-18 12:09:36	2023-05-18 12:09:36
174	52946e67cb	26	0.28	10	2023-05-18 12:10:49	2023-05-18 12:10:49
175	52946e67cb	30	0.00	10	2023-05-18 12:12:22	2023-05-18 12:12:22
176	52946e67cb	29	0.07	10	2023-05-18 12:13:36	2023-05-18 12:13:36
177	52946e67cb	30	0.00	10	2023-05-18 12:14:56	2023-05-18 12:14:56
178	52946e67cb	31	-0.07	10	2023-05-18 12:16:10	2023-05-18 12:16:10
179	52946e67cb	37	-0.49	10	2023-05-18 12:17:13	2023-05-18 12:17:13
180	52946e67cb	33	-0.21	10	2023-05-18 12:18:54	2023-05-18 12:18:54
181	52946e67cb	29	0.07	10	2023-05-18 12:36:32	2023-05-18 12:36:32
182	52946e67cb	29	0.07	10	2023-05-18 12:37:24	2023-05-18 12:37:24
183	52946e67cb	30	0.00	10	2023-05-18 12:38:14	2023-05-18 12:38:14
184	52946e67cb	28	0.14	10	2023-05-18 12:39:00	2023-05-18 12:39:00
185	52946e67cb	30	0.00	10	2023-05-18 12:39:51	2023-05-18 12:39:51
