id	userid	score	bubble_attention_mean	bubble_attention_std	bubble_baseline_mean	bubble_baseline_std	z	trials	created_at	updated_at
112	1ef651d180	0.01	-0.26949889495772	0.85201265129246	-0.27375452172415	0.80469902845615	2.27	1	2023-05-18 19:41:32	2023-05-18 19:41:32
113	70060b0cc2	1.02	0.41949449722537	0.90278037836728	-0.17970781539906	0.58675384788721	-1.81	1	2023-05-18 19:52:05	2023-05-18 19:52:05
114	70060b0cc2	-0.10	-0.046220530871422	0.92502963937471	0.061209310616735	1.1116759676753	0.73	1	2023-05-18 19:52:53	2023-05-18 19:52:53
115	70060b0cc2	0.21	-0.31098565028405	0.6357554082997	-0.52417119585794	1.0293783669551	-0.03	1	2023-05-18 20:49:06	2023-05-18 20:49:06
116	70060b0cc2	0.56	0.20627870200842	1.1361656278812	-0.43450368141154	1.1516804047063	-1.16	1	2023-05-18 20:49:50	2023-05-18 20:49:50
117	43f861d575	-0.55	-0.13072752854789	0.82447327570948	0.41962630409595	1.0061940351892	-1.27	1	2023-05-19 03:43:25	2023-05-19 03:43:25
118	52946e67cb	0.69	0.44187049683723	0.92079890842863	-0.25291142216609	1.0036877156377	-1.64	1	2023-05-21 12:48:37	2023-05-21 12:48:37
119	52946e67cb	0.12	-0.23067130252519	0.72032841424117	-0.35352326894226	1.0396962572196	0.53	1	2023-05-21 12:50:00	2023-05-21 12:50:00
120	52946e67cb	-0.08	-0.12915711052317	0.91316000326706	-0.022427842535874	1.2692747829819	0.80	1	2023-05-21 12:50:53	2023-05-21 12:50:53
121	52946e67cb	-0.28	-0.0024994091867837	0.71056055579593	0.22295417543224	0.79524099140855	-0.24	1	2023-05-21 12:52:00	2023-05-21 12:52:00
122	52946e67cb	-0.40	-0.38892401841268	1.0060304995127	-0.10708373407162	0.69720117101299	-0.34	1	2023-05-21 12:52:54	2023-05-21 12:52:54
123	52946e67cb	0.39	0.077837399965395	0.95216002548723	-0.31106683978919	1.0061803790029	-0.61	1	2023-05-21 12:53:47	2023-05-21 12:53:47
124	52946e67cb	-0.02	-0.082921397658655	0.93172861034687	-0.067804078224503	0.88306298619765	1.78	1	2023-05-21 12:54:43	2023-05-21 12:54:43
125	52946e67cb	-0.41	-0.34574437679591	0.70998254054796	-0.0010183861356897	0.83366729540819	-0.78	1	2023-05-21 12:55:41	2023-05-21 12:55:41
126	52946e67cb	0.52	0.31091707831594	0.97675123159295	-0.037287327733284	0.66555475819875	-0.68	1	2023-05-21 12:56:36	2023-05-21 12:56:36
127	52946e67cb	0.29	0.12464808380424	0.84029922727342	-0.26007668478028	1.3091413395007	-0.43	1	2023-05-21 12:57:30	2023-05-21 12:57:30
128	52946e67cb	-0.17	-0.17371055321604	0.68980935609354	-0.046313684205691	0.75752470987827	0.31	1	2023-05-21 12:58:32	2023-05-21 12:58:32
129	52946e67cb	0.05	-0.14746442967232	0.87941052988415	-0.18632476055421	0.83921457006881	1.28	1	2023-05-21 12:59:32	2023-05-21 12:59:32
130	52946e67cb	-0.33	-0.018397165125192	0.91044940814375	0.26853580744718	0.86581210395636	-0.34	1	2023-05-21 13:00:34	2023-05-21 13:00:34
131	52946e67cb	0.34	-0.080153296403654	0.7162247479623	-0.49624653456161	1.2417687236474	-0.65	1	2023-05-21 13:01:27	2023-05-21 13:01:27
132	52946e67cb	0.59	0.090546060891914	1.2466506730359	-0.4340574221107	0.88674169600518	-0.91	1	2023-05-21 13:02:20	2023-05-21 13:02:20
133	52946e67cb	-0.71	-0.15085446725261	1.0109201128328	0.46111722049559	0.86131404713667	-1.44	1	2023-05-21 13:03:11	2023-05-21 13:03:11
134	52946e67cb	-0.17	-0.24207341669529	0.67857157642807	-0.089499168453934	0.89779833731949	0.23	1	2023-05-21 13:04:04	2023-05-21 13:04:04
135	fff8c30e58	0.91	0.21748301267896	0.83469097720528	-0.50789899475522	0.79751741126879	-2.11	1	2023-05-21 14:14:54	2023-05-21 14:14:54
136	fff8c30e58	-0.74	-0.46523547548217	0.88826580595678	0.28175359719857	1.0126261902275	-1.82	1	2023-05-21 14:15:31	2023-05-21 14:15:31
137	fff8c30e58	-0.06	0.045741004363792	0.92118795180783	0.10381884643543	1.0530105239441	1.12	1	2023-05-21 14:16:06	2023-05-21 14:16:06
138	fff8c30e58	-0.45	-0.18145528204161	1.2741704902921	0.14990793570787	0.73048830274984	-0.32	1	2023-05-21 14:31:34	2023-05-21 14:31:34
139	fff8c30e58	-0.30	-0.22156139624889	1.0776594785973	0.083024158707305	1.017040025257	-0.21	1	2023-05-21 14:32:10	2023-05-21 14:32:10
140	fff8c30e58	-0.51	-0.41129783726613	1.0019028714408	-0.017054794425722	0.77595420048911	-0.76	1	2023-05-21 14:32:48	2023-05-21 14:32:48
141	fff8c30e58	-0.26	-0.31814618206157	0.97895914310161	-0.10054768512712	0.84233325225695	0.01	1	2023-05-21 14:33:25	2023-05-21 14:33:25
142	fff8c30e58	0.40	0.19736060153173	1.1996658385599	-0.19289609915186	0.97392884850581	-0.47	1	2023-05-22 13:58:10	2023-05-22 13:58:10
143	fff8c30e58	0.06	0.20723226668909	1.0946153925828	0.13500426199254	1.1185074920035	1.06	1	2023-05-22 13:58:45	2023-05-22 13:58:45
144	fff8c30e58	-0.47	0.059561657509478	0.87850361646434	0.51763310961055	0.96502722824278	-0.95	1	2023-05-23 01:32:16	2023-05-23 01:32:16
145	fff8c30e58	-0.09	-0.083190147139351	0.99460633678074	-0.0061690845300086	0.83312273905835	0.89	1	2023-05-23 01:32:52	2023-05-23 01:32:52
146	f92becb245	-0.38	-0.20052484671981	0.89751786191976	0.21249118609585	1.0886841151852	-0.67	1	2023-05-23 06:34:34	2023-05-23 06:34:34
147	f92becb245	-0.16	-0.13713226036758	1.2070745456802	0.011450499601777	0.93918374617543	0.53	1	2023-05-23 07:34:56	2023-05-23 07:34:56
148	fff8c30e58	0.23	0.39525183170579	0.66203615494256	0.15539605562943	1.0478636783545	-0.14	1	2023-05-23 17:56:11	2023-05-23 17:56:11
149	fff8c30e58	-0.01	-0.21989625842965	1.147354478597	-0.21538866083312	0.74142231605966	2.31	1	2023-05-23 17:56:47	2023-05-23 17:56:47
150	2e006b735f	0.02	-0.039467554508526	0.81923249768684	-0.053966770221688	0.85513210002826	1.77	1	2023-05-23 18:09:35	2023-05-23 18:09:35
151	b68f6fe9a2	-0.07	-0.37685968208476	0.71037948012692	-0.30508591026211	0.9776043816102	0.89	1	2023-05-23 18:28:04	2023-05-23 18:28:04
152	d40dfacc09	-0.06	-0.20324687905002	0.96173591490123	-0.14123897630907	1.1030349551893	1.11	1	2023-05-23 18:30:38	2023-05-23 18:30:38
153	e23b4bcc65	0.76	0.23798379012343	1.2334344604577	-0.20436658824178	0.57876401190405	-0.81	1	2023-05-23 18:39:32	2023-05-23 18:39:32
154	d40dfacc09	-0.59	-0.2095289998982	0.93430315201832	0.16951111740963	0.64629596568302	-0.87	1	2023-05-23 18:56:33	2023-05-23 18:56:33
155	d40dfacc09	0.14	0.072229416221791	1.075868450004	-0.071985458754476	1.0044243592748	0.52	1	2023-05-23 18:57:13	2023-05-23 18:57:13
156	3328dc4258	0.21	0.14986413734038	0.78690380247519	-0.076601335122176	1.0647559254412	0.00	1	2023-05-23 18:57:25	2023-05-23 18:57:25
157	d40dfacc09	0.35	0.45502812139052	0.96697689199472	0.11261107636166	0.97834265911375	-0.45	1	2023-05-23 18:57:59	2023-05-23 18:57:59
158	5b84771544	0.35	0.15676895402329	0.7915461636805	-0.15797983978795	0.91129862854557	-0.51	1	2023-05-23 19:11:17	2023-05-23 19:11:17
159	eb1f2db343	-0.39	-0.29756444483092	0.79058379329735	0.14433806870402	1.1294821139379	-0.80	1	2023-05-23 19:18:03	2023-05-23 19:18:03
160	77c18aa0ae	-0.19	-0.007848920118709	0.97303655940774	0.18393021576568	0.98498405672568	0.21	1	2023-05-23 19:34:07	2023-05-23 19:34:07
161	77c18aa0ae	-0.79	-0.65374637126232	0.90751607091084	0.23006471244365	1.1256139275909	-2.04	1	2023-05-23 19:34:56	2023-05-23 19:34:56
162	852c40a4c1	0.00	0.075896442418358	0.68849523620088	0.081718651210982	1.2131007704797	2.22	1	2023-05-23 23:10:19	2023-05-23 23:10:19
163	852c40a4c1	-0.09	-0.044762535630791	0.81150336687408	0.018547378300564	0.73587407560538	0.91	1	2023-05-24 00:00:52	2023-05-24 00:00:52
164	65fc3500be	-0.21	-0.32187904846514	0.86540487406761	-0.067793020592675	1.1969943460519	-0.01	1	2023-05-24 00:45:35	2023-05-24 00:45:35
165	55c781238a	-0.10	0.055569251688543	0.9546574769382	0.14793964941753	0.88383661346318	0.77	1	2023-05-24 01:11:02	2023-05-24 01:11:02
166	9e7a2c2a0d	-0.01	-0.24701305494231	1.3421892289748	-0.23486656663924	0.94344679516547	1.99	1	2023-05-24 02:16:52	2023-05-24 02:16:52
167	3328dc4258	-0.15	0.048648172273505	1.2300265130762	0.21141807202432	1.0753610411445	0.50	1	2023-05-24 02:17:28	2023-05-24 02:17:28
168	5db1799938	0.70	0.45164664800786	0.87745710398404	-0.1522775383421	0.86093041663908	-1.57	1	2023-05-24 02:56:03	2023-05-24 02:56:03
169	53b90b6e5f	0.05	0.18233168930221	1.1171762050377	0.1253904414618	1.2146587605381	1.23	1	2023-05-24 04:46:04	2023-05-24 04:46:04
170	53b90b6e5f	-0.57	-0.34072117844814	1.0896128081549	0.20575798296268	0.96551768718787	-1.06	1	2023-05-24 04:47:14	2023-05-24 04:47:14
171	53b90b6e5f	-0.43	-0.021154061567836	1.200959266177	0.37778936145799	0.93763874243125	-0.51	1	2023-05-24 04:48:20	2023-05-24 04:48:20
172	53b90b6e5f	-0.57	-0.093386898247469	1.2934274334998	0.53385569692248	1.1000814039379	-1.04	1	2023-05-24 04:49:12	2023-05-24 04:49:12
173	53b90b6e5f	0.65	0.1578579695987	0.695417766161	-0.56177562240887	1.0998176802916	-1.80	1	2023-05-24 04:50:00	2023-05-24 04:50:00
174	e62733e006	-0.35	0.009209313478278	0.8465140216991	0.37460797224616	1.0322260397649	-0.57	1	2023-05-24 12:10:52	2023-05-24 12:10:52
175	e62733e006	0.25	-0.04134452219636	1.2790521983553	-0.30702411903633	1.0797408452026	0.08	1	2023-05-24 12:12:04	2023-05-24 12:12:04
176	e62733e006	0.39	-0.080221836968762	1.121204043809	-0.43319239254332	0.90947900036457	-0.42	1	2023-05-24 12:12:56	2023-05-24 12:12:56
177	e62733e006	0.34	0.11767655313074	1.1728931946572	-0.31279329635605	1.2611921114244	-0.45	1	2023-05-24 12:13:53	2023-05-24 12:13:53
178	e62733e006	0.11	0.27989320371594	0.94550087013417	0.20634248837276	0.69111473465881	0.85	1	2023-05-24 12:14:46	2023-05-24 12:14:46
179	e62733e006	-0.34	0.047745983794406	1.0912023886998	0.38650198890565	0.98927250222643	-0.34	1	2023-05-24 12:17:06	2023-05-24 12:17:06
180	e62733e006	0.24	0.19188030040852	0.73548446670777	0.00099960402330285	0.78373640158205	-0.04	1	2023-05-24 12:26:12	2023-05-24 12:26:12
181	e62733e006	0.10	0.1393174144627	1.1885025753518	0.042682523429966	0.98265903380775	0.86	1	2023-05-24 12:27:17	2023-05-24 12:27:17
182	e62733e006	-0.18	-0.039078911371675	0.98842424976781	0.13941829077416	0.99016775617342	0.29	1	2023-05-24 12:28:28	2023-05-24 12:28:28
183	3036d30a05	0.15	-0.016557548650041	1.0876809451548	-0.087069709646755	0.47960339883023	0.90	1	2023-05-24 12:47:14	2023-05-24 12:47:14
184	3036d30a05	-0.22	-0.12704746922667	1.2268860555642	0.13482506694062	1.1871828664264	0.11	1	2023-05-24 12:47:59	2023-05-24 12:47:59
185	852c40a4c1	-0.49	-0.19263988768399	0.94029668649741	0.1797278370757	0.76289615638177	-0.74	1	2023-05-24 13:34:22	2023-05-24 13:34:22
186	fff8c30e58	0.18	0.10058675816697	0.86266354172722	-0.062047232576551	0.90939383923994	0.27	1	2023-05-24 14:10:42	2023-05-24 14:10:42
187	37b1202ffb	0.01	-0.12637215835104	0.58076766752018	-0.13119935176088	0.84625240809321	2.17	1	2023-05-24 14:45:01	2023-05-24 14:45:01
188	37b1202ffb	0.00	-0.18426145184643	1.222626658319	-0.18347516813141	1.2540648545281	2.98	1	2023-05-24 14:55:43	2023-05-24 14:55:43
189	37b1202ffb	0.22	0.17812694030621	1.1847041182105	-0.026791602909969	0.94466617415917	0.23	1	2023-05-24 14:57:03	2023-05-24 14:57:03
190	51f5819377	-0.61	-0.48122417768824	0.80229057096232	0.098268260339332	0.95443370616391	-1.45	1	2023-05-24 16:50:32	2023-05-24 16:50:32
191	51f5819377	0.04	0.40752351948154	0.65752397437689	0.35513639315987	1.1876879057787	1.17	1	2023-05-24 16:51:14	2023-05-24 16:51:14
192	51f5819377	0.01	0.1838221955615	0.86355050130086	0.17587756107214	0.95923608123052	2.07	1	2023-05-24 16:51:53	2023-05-24 16:51:53
193	51f5819377	-0.20	-0.19286273491386	0.9973080379627	0.010235533532206	1.0225241259202	0.19	1	2023-05-24 16:52:35	2023-05-24 16:52:35
194	51f5819377	0.47	0.18283134580114	0.91714447094116	-0.16285599029648	0.73438481456494	-0.68	1	2023-05-24 17:08:04	2023-05-24 17:08:04
195	51f5819377	0.65	0.56094433063141	1.0208956459098	-0.055783928415751	0.95394267297484	-1.36	1	2023-05-24 17:08:44	2023-05-24 17:08:44
196	51f5819377	-0.50	-0.20800126135887	1.0508008554249	0.33734559720555	1.0855891629792	-1.00	1	2023-05-24 17:09:20	2023-05-24 17:09:20
197	036851a55f	-0.22	-0.17044457379212	1.020863556872	-0.031366464911885	0.61855692077618	0.37	1	2023-05-24 18:55:56	2023-05-24 18:55:56
198	e562fe06a4	0.36	0.42659312240311	0.97685123319141	-0.0073209261247985	1.2185480687533	-0.60	1	2023-05-24 19:28:11	2023-05-24 19:28:11
199	e562fe06a4	-0.39	-0.28193320689948	0.89215852778682	0.12580564276969	1.049149202692	-0.69	1	2023-05-24 19:29:14	2023-05-24 19:29:14
200	e562fe06a4	0.03	0.18907640638136	1.010199816435	0.1475523341391	1.2167621996232	1.39	1	2023-05-24 19:30:19	2023-05-24 19:30:19
